starting worker pid=31332 on localhost:11425 at 15:03:44.680
starting worker pid=26892 on localhost:11425 at 15:03:44.681
starting worker pid=16932 on localhost:11425 at 15:03:44.706
starting worker pid=45812 on localhost:11425 at 15:03:44.736
starting worker pid=38252 on localhost:11425 at 15:03:44.817
starting worker pid=42400 on localhost:11425 at 15:03:44.843
starting worker pid=3328 on localhost:11425 at 15:03:44.868
starting worker pid=36316 on localhost:11425 at 15:03:44.892
starting worker pid=22760 on localhost:11425 at 15:03:44.945
starting worker pid=17796 on localhost:11425 at 15:03:44.963
starting worker pid=45412 on localhost:11425 at 15:03:44.983
starting worker pid=29608 on localhost:11425 at 15:03:44.993
starting worker pid=41012 on localhost:11425 at 15:03:45.023
starting worker pid=24068 on localhost:11425 at 15:03:45.034
starting worker pid=33332 on localhost:11425 at 15:03:45.048
starting worker pid=40240 on localhost:11425 at 15:03:45.064
starting worker pid=36768 on localhost:11425 at 15:03:45.097
starting worker pid=37776 on localhost:11425 at 15:03:45.105
starting worker pid=29184 on localhost:11425 at 15:03:45.117
starting worker pid=43656 on localhost:11425 at 15:03:45.122
starting worker pid=23508 on localhost:11425 at 15:03:45.124
starting worker pid=31048 on localhost:11425 at 15:03:45.124
starting worker pid=25452 on localhost:11425 at 15:03:45.139
starting worker pid=35628 on localhost:11425 at 15:03:45.143
starting worker pid=23844 on localhost:11425 at 15:03:45.159
starting worker pid=42568 on localhost:11425 at 15:03:45.182
starting worker pid=25640 on localhost:11425 at 15:03:45.182
starting worker pid=18532 on localhost:11425 at 15:03:45.198
starting worker pid=37748 on localhost:11425 at 15:03:45.260
starting worker pid=20760 on localhost:11425 at 15:03:45.276
starting worker pid=27468 on localhost:11425 at 15:03:45.279
starting worker pid=13512 on localhost:11425 at 15:03:45.282
starting worker pid=28056 on localhost:11425 at 15:03:45.305
starting worker pid=13128 on localhost:11425 at 15:03:45.311
starting worker pid=27888 on localhost:11425 at 15:03:45.313
starting worker pid=42848 on localhost:11425 at 15:03:45.316
starting worker pid=41604 on localhost:11425 at 15:03:45.336
starting worker pid=37864 on localhost:11425 at 15:03:45.337
starting worker pid=36844 on localhost:11425 at 15:03:45.338
starting worker pid=39692 on localhost:11425 at 15:03:45.338
starting worker pid=41316 on localhost:11425 at 15:03:45.356
starting worker pid=24412 on localhost:11425 at 15:03:45.376
starting worker pid=42092 on localhost:11425 at 15:03:45.377
starting worker pid=40668 on localhost:11425 at 15:03:45.382
starting worker pid=29128 on localhost:11425 at 15:03:45.385
starting worker pid=38360 on localhost:11425 at 15:03:45.386
starting worker pid=28192 on localhost:11425 at 15:03:45.396
starting worker pid=31784 on localhost:11425 at 15:03:45.398
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 45 / 100 for setting 1 / 3 at 2025-02-27 15:48:45.437009.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 6 / 100 for setting 1 / 3 at 2025-02-27 15:49:39.372855.
Finished rep 4 / 100 for setting 1 / 3 at 2025-02-27 15:49:46.608995.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 31 / 100 for setting 1 / 3 at 2025-02-27 15:50:00.122889.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 5 / 100 for setting 1 / 3 at 2025-02-27 15:51:13.383981.
Finished rep 29 / 100 for setting 1 / 3 at 2025-02-27 15:51:21.766481.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 30 / 100 for setting 1 / 3 at 2025-02-27 15:52:07.794916.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 32 / 100 for setting 1 / 3 at 2025-02-27 15:52:32.841091.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 44 / 100 for setting 1 / 3 at 2025-02-27 15:52:54.432646.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 27 / 100 for setting 1 / 3 at 2025-02-27 15:54:30.799934.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 25 / 100 for setting 1 / 3 at 2025-02-27 15:55:19.909462.
Finished rep 16 / 100 for setting 1 / 3 at 2025-02-27 15:55:30.143579.
Finished rep 26 / 100 for setting 1 / 3 at 2025-02-27 15:55:34.300936.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 1 / 100 for setting 1 / 3 at 2025-02-27 15:55:53.520564.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 39 / 100 for setting 1 / 3 at 2025-02-27 15:56:42.333869.
Finished rep 38 / 100 for setting 1 / 3 at 2025-02-27 15:56:44.14866.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 41 / 100 for setting 1 / 3 at 2025-02-27 15:57:07.179717.
Finished rep 15 / 100 for setting 1 / 3 at 2025-02-27 15:57:09.652293.
Finished rep 50 / 100 for setting 1 / 3 at 2025-02-27 15:57:11.027674.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 14 / 100 for setting 1 / 3 at 2025-02-27 15:57:46.948167.
Finished rep 33 / 100 for setting 1 / 3 at 2025-02-27 15:57:50.335757.
Finished rep 13 / 100 for setting 1 / 3 at 2025-02-27 15:57:52.332726.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 22 / 100 for setting 1 / 3 at 2025-02-27 15:58:13.317872.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 10 / 100 for setting 1 / 3 at 2025-02-27 15:58:14.726855.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 23 / 100 for setting 1 / 3 at 2025-02-27 15:58:25.823197.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 19 / 100 for setting 1 / 3 at 2025-02-27 15:58:33.626819.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 3 / 100 for setting 1 / 3 at 2025-02-27 15:58:50.368055.
Finished rep 21 / 100 for setting 1 / 3 at 2025-02-27 15:58:51.08417.
Finished rep 7 / 100 for setting 1 / 3 at 2025-02-27 15:58:52.220093.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 17 / 100 for setting 1 / 3 at 2025-02-27 15:59:02.552749.
Finished rep 35 / 100 for setting 1 / 3 at 2025-02-27 15:59:04.29885.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 48 / 100 for setting 1 / 3 at 2025-02-27 15:59:11.892367.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 20 / 100 for setting 1 / 3 at 2025-02-27 15:59:28.792999.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 37 / 100 for setting 1 / 3 at 2025-02-27 16:00:02.38758.
Finished rep 43 / 100 for setting 1 / 3 at 2025-02-27 16:00:14.066292.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 36 / 100 for setting 1 / 3 at 2025-02-27 16:00:24.328492.
Finished rep 28 / 100 for setting 1 / 3 at 2025-02-27 16:00:27.396194.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 24 / 100 for setting 1 / 3 at 2025-02-27 16:00:39.374767.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 34 / 100 for setting 1 / 3 at 2025-02-27 16:00:47.225024.
Finished rep 8 / 100 for setting 1 / 3 at 2025-02-27 16:00:52.854174.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 2 / 100 for setting 1 / 3 at 2025-02-27 16:00:55.407264.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 9 / 100 for setting 1 / 3 at 2025-02-27 16:00:59.714107.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 49 / 100 for setting 1 / 3 at 2025-02-27 16:01:10.872602.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 40 / 100 for setting 1 / 3 at 2025-02-27 16:01:20.238151.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 46 / 100 for setting 1 / 3 at 2025-02-27 16:03:00.083631.
Error in PCR: Error: protect(): protection stack ‹berlauf

Finished rep 12 / 100 for setting 1 / 3 at 2025-02-27 16:03:28.344073.
Finished rep 18 / 100 for setting 1 / 3 at 2025-02-27 16:03:37.4434.
Finished rep 47 / 100 for setting 1 / 3 at 2025-02-27 16:03:43.578657.
Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 42 / 100 for setting 1 / 3 at 2025-02-27 16:04:28.707344.
Finished rep 11 / 100 for setting 1 / 3 at 2025-02-27 16:04:42.068227.
Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PCR: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Error in PLS: Error: protect(): protection stack ‹berlauf

Finished rep 52 / 100 for setting 1 / 3 at 2025-02-27 16:35:11.519755.
Finished rep 54 / 100 for setting 1 / 3 at 2025-02-27 16:35:16.398446.
Finished rep 2 / 100 for setting 2 / 3 at 2025-02-27 16:35:48.114071.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 1 / 100 for setting 2 / 3 at 2025-02-27 16:35:51.439948.
Finished rep 3 / 100 for setting 2 / 3 at 2025-02-27 16:36:21.580965.
Finished rep 4 / 100 for setting 2 / 3 at 2025-02-27 16:36:23.177549.
Finished rep 5 / 100 for setting 2 / 3 at 2025-02-27 16:36:53.504438.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 6 / 100 for setting 2 / 3 at 2025-02-27 16:36:54.387074.
Error in RP_CW_Ensemble: Error in h(simpleError(msg, call)): Fehler bei der Auswertung des Argumentes 'y' bei der Methodenauswahl f√ºr Funktion 'crossprod': LAPACK 'dpotrf': leading minor of order 42 is not positive definite

Finished rep 51 / 100 for setting 1 / 3 at 2025-02-27 16:37:08.447357.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 7 / 100 for setting 2 / 3 at 2025-02-27 16:37:25.487648.
Finished rep 8 / 100 for setting 2 / 3 at 2025-02-27 16:37:26.618323.
Finished rep 9 / 100 for setting 2 / 3 at 2025-02-27 16:37:40.591524.
Finished rep 10 / 100 for setting 2 / 3 at 2025-02-27 16:37:57.445157.
Finished rep 11 / 100 for setting 2 / 3 at 2025-02-27 16:37:59.303688.
Finished rep 55 / 100 for setting 1 / 3 at 2025-02-27 16:38:05.606504.
Finished rep 59 / 100 for setting 1 / 3 at 2025-02-27 16:38:09.01815.
Finished rep 12 / 100 for setting 2 / 3 at 2025-02-27 16:38:15.602606.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 13 / 100 for setting 2 / 3 at 2025-02-27 16:38:32.779975.
Finished rep 14 / 100 for setting 2 / 3 at 2025-02-27 16:38:34.351936.
Finished rep 15 / 100 for setting 2 / 3 at 2025-02-27 16:38:38.426939.
Finished rep 16 / 100 for setting 2 / 3 at 2025-02-27 16:38:42.276524.
Finished rep 57 / 100 for setting 1 / 3 at 2025-02-27 16:38:43.886481.
Finished rep 17 / 100 for setting 2 / 3 at 2025-02-27 16:38:47.343543.
Finished rep 19 / 100 for setting 2 / 3 at 2025-02-27 16:39:08.099245.
Finished rep 21 / 100 for setting 2 / 3 at 2025-02-27 16:39:15.285434.
Finished rep 18 / 100 for setting 2 / 3 at 2025-02-27 16:39:15.482456.
Finished rep 58 / 100 for setting 1 / 3 at 2025-02-27 16:39:15.55373.
Finished rep 22 / 100 for setting 2 / 3 at 2025-02-27 16:39:16.120539.
Finished rep 20 / 100 for setting 2 / 3 at 2025-02-27 16:39:18.222229.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 23 / 100 for setting 2 / 3 at 2025-02-27 16:39:20.671447.
Finished rep 26 / 100 for setting 2 / 3 at 2025-02-27 16:39:47.788702.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 27 / 100 for setting 2 / 3 at 2025-02-27 16:39:48.028587.
Finished rep 25 / 100 for setting 2 / 3 at 2025-02-27 16:39:48.31933.
Finished rep 24 / 100 for setting 2 / 3 at 2025-02-27 16:39:49.451909.
Finished rep 56 / 100 for setting 1 / 3 at 2025-02-27 16:39:49.761949.
Finished rep 29 / 100 for setting 2 / 3 at 2025-02-27 16:39:50.195918.
Finished rep 28 / 100 for setting 2 / 3 at 2025-02-27 16:39:50.593812.
Error in RP_CW_Ensemble: Error in h(simpleError(msg, call)): Fehler bei der Auswertung des Argumentes 'y' bei der Methodenauswahl f√ºr Funktion 'crossprod': LAPACK 'dpotrf': leading minor of order 42 is not positive definite

Finished rep 30 / 100 for setting 2 / 3 at 2025-02-27 16:39:58.76102.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 33 / 100 for setting 2 / 3 at 2025-02-27 16:40:10.750934.
Finished rep 32 / 100 for setting 2 / 3 at 2025-02-27 16:40:20.235353.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 34 / 100 for setting 2 / 3 at 2025-02-27 16:40:21.790091.
Finished rep 31 / 100 for setting 2 / 3 at 2025-02-27 16:40:21.902282.
Finished rep 37 / 100 for setting 2 / 3 at 2025-02-27 16:40:24.862555.
Finished rep 35 / 100 for setting 2 / 3 at 2025-02-27 16:40:25.698378.
Finished rep 36 / 100 for setting 2 / 3 at 2025-02-27 16:40:28.861056.
Finished rep 53 / 100 for setting 1 / 3 at 2025-02-27 16:40:31.46182.
Finished rep 38 / 100 for setting 2 / 3 at 2025-02-27 16:40:32.262926.
Error in RP_CW_Ensemble: Error in h(simpleError(msg, call)): Fehler bei der Auswertung des Argumentes 'y' bei der Methodenauswahl f√ºr Funktion 'crossprod': LAPACK 'dpotrf': leading minor of order 41 is not positive definite

Finished rep 39 / 100 for setting 2 / 3 at 2025-02-27 16:40:42.189973.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 40 / 100 for setting 2 / 3 at 2025-02-27 16:40:52.46756.
Finished rep 41 / 100 for setting 2 / 3 at 2025-02-27 16:40:53.482829.
Finished rep 42 / 100 for setting 2 / 3 at 2025-02-27 16:40:54.228218.
Finished rep 44 / 100 for setting 2 / 3 at 2025-02-27 16:40:54.752058.
Finished rep 43 / 100 for setting 2 / 3 at 2025-02-27 16:40:58.744568.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 46 / 100 for setting 2 / 3 at 2025-02-27 16:41:03.309773.
Finished rep 47 / 100 for setting 2 / 3 at 2025-02-27 16:41:05.127794.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 45 / 100 for setting 2 / 3 at 2025-02-27 16:41:12.477554.
Finished rep 48 / 100 for setting 2 / 3 at 2025-02-27 16:41:18.734956.
Finished rep 49 / 100 for setting 2 / 3 at 2025-02-27 16:41:25.14132.
Finished rep 50 / 100 for setting 2 / 3 at 2025-02-27 16:41:26.09856.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 52 / 100 for setting 2 / 3 at 2025-02-27 16:41:26.712038.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 51 / 100 for setting 2 / 3 at 2025-02-27 16:41:30.015464.
Finished rep 53 / 100 for setting 2 / 3 at 2025-02-27 16:41:30.325812.
Error in BAMP: Error in if (sum((beta_new_t - beta_t)^2) < tol * sum(beta_t^2) || it >= : Fehlender Wert, wo TRUE/FALSE n√∂tig ist

Finished rep 54 / 100 for setting 2 / 3 at 2025-02-27 16:41:34.601178.
Finished rep 55 / 100 for setting 2 / 3 at 2025-02-27 16:41:38.702841.
